2019-01-31,机械行业
2019-01-31,电子信息
2019-01-31,生物制药
2019-01-31,医疗器械
2019-01-31,化工行业
2019-01-31,房地产
2019-01-31,服装鞋类
2019-01-31,有色金属
2019-01-31,金融行业
2019-01-31,飞机制造
2019-01-31,交通运输
2019-01-31,煤炭行业
2019-01-31,NaN
2019-01-31,汽车制造
2019-01-31,物资外贸
2019-01-31,商业百货
2019-01-31,建筑建材
2019-01-31,玻璃行业
2019-01-31,农林牧渔
2019-01-31,电力行业
2019-01-31,石油行业
2019-01-31,家电行业
2019-01-31,电子器件
2019-01-31,酿酒行业
2019-01-31,传媒娱乐
2019-01-31,电器行业
2019-01-31,其它行业
2019-01-31,食品行业
2019-01-31,水泥行业
2019-01-31,船舶制造
2019-01-31,酒店旅游
2019-01-31,发电设备
2019-01-31,农药化肥
2019-01-31,化纤行业
2019-01-31,钢铁行业
2019-01-31,家具行业
2019-01-31,仪器仪表
2019-01-31,环保行业
2019-01-31,综合行业
2019-01-31,次新股
